Filename,clipiqa
10004473376.jpg,0.6947920918464661
10007357496.jpg,0.6748707890510559
10007903636.jpg,0.5081946849822998
10009096245.jpg,0.5166261792182922
100117038.jpg,0.683027446269989
10012398043.jpg,0.5488633513450623
10013822223.jpg,0.623133659362793
10014002683.jpg,0.5312885642051697
10017119924.jpg,0.5721705555915833
10020766793.jpg,0.7711144685745239
10020891105.jpg,0.431018590927124
10022757465.jpg,0.650845468044281
10022844623.jpg,0.4686719477176666
10027545463.jpg,0.6124813556671143
10027582235.jpg,0.5958705544471741
10029841663.jpg,0.589638888835907
10031298826.jpg,0.5955966114997864
10031913154.jpg,0.6139472126960754
10039534103.jpg,0.6215541958808899
10041870415.jpg,0.5976434946060181
10043785683.jpg,0.6366083025932312
10047832035.jpg,0.5045554637908936
10048365153.jpg,0.5043683648109436
10050349236.jpg,0.2688327431678772
10058760545.jpg,0.3123672902584076
10059344614.jpg,0.47919201850891113
10061596254.jpg,0.48869481682777405
10067457634.jpg,0.454430490732193
10068507976.jpg,0.40369048714637756
10068778516.jpg,0.6472539305686951
10069534975.jpg,0.627288818359375
10071864114.jpg,0.5315786600112915
10075168775.jpg,0.7137306332588196
10077468576.jpg,0.7837710380554199
10077880165.jpg,0.38869422674179077
10079711433.jpg,0.41935235261917114
10082923485.jpg,0.4329705238342285
10086300493.jpg,0.5300281047821045
100882570.jpg,0.5294218063354492
10089027076.jpg,0.38601136207580566
10089177336.jpg,0.5955536961555481
10091520555.jpg,0.30078670382499695
10093057603.jpg,0.4659295082092285
10094235786.jpg,0.5583348870277405
10110458216.jpg,0.789090096950531
10111411235.jpg,0.20704805850982666
10113730664.jpg,0.6294013261795044
10115071674.jpg,0.6961499452590942
10118773964.jpg,0.6482587456703186
10121813934.jpg,0.5128922462463379
10125013364.jpg,0.3300541341304779
10126177964.jpg,0.6428922414779663
10126857344.jpg,0.7486785054206848
10130566006.jpg,0.5317662358283997
10131980434.jpg,0.6406461596488953
10133867305.jpg,0.3570161461830139
10134737015.jpg,0.2920263409614563
10140071304.jpg,0.5978790521621704
1014369849.jpg,0.5022258758544922
10147970884.jpg,0.6924847960472107
101484668.jpg,0.19487886130809784
10153847086.jpg,0.4190077781677246
10154367094.jpg,0.4694649875164032
10154991453.jpg,0.7114095091819763
10155925686.jpg,0.6347715258598328
101601008.jpg,0.5723280310630798
10164654253.jpg,0.3446735143661499
10164842933.jpg,0.6877610087394714
10169304416.jpg,0.6609096527099609
10173544123.jpg,0.5966928601264954
1017647143.jpg,0.6705304980278015
10177270623.jpg,0.2284904569387436
10177793964.jpg,0.7001444697380066
10178112894.jpg,0.5540160536766052
10178183416.jpg,0.6745026111602783
10178914656.jpg,0.5107896327972412
10183769356.jpg,0.7512767910957336
10186643874.jpg,0.3732796907424927
10186680555.jpg,0.3099914491176605
10186832194.jpg,0.24535918235778809
10187102065.jpg,0.3784193694591522
10187522803.jpg,0.5691645741462708
10191607755.jpg,0.6263219714164734
10196228605.jpg,0.6824380159378052
10203647273.jpg,0.6486763954162598
10205220286.jpg,0.25914835929870605
10206674394.jpg,0.7573591470718384
10207172624.jpg,0.5600399374961853
10209014225.jpg,0.6170787215232849
10209917915.jpg,0.6527722477912903
10211880874.jpg,0.42915669083595276
10213881683.jpg,0.2407684326171875
10218118033.jpg,0.6411874890327454
10221144393.jpg,0.19588366150856018
10224586444.jpg,0.28347206115722656
10226277514.jpg,0.42810583114624023
10226524916.jpg,0.29569146037101746
10227210045.jpg,0.503562867641449
10241630856.jpg,0.6149691939353943
10241895785.jpg,0.3878881633281708
10244314384.jpg,0.4001724421977997
10244715656.jpg,0.5349209904670715
10246311914.jpg,0.5814855694770813
10246318724.jpg,0.5907132029533386
10258169584.jpg,0.32134807109832764
10260190424.jpg,0.5515303015708923
1026198859.jpg,0.6374721527099609
10262588616.jpg,0.6014599204063416
10264804094.jpg,0.46240344643592834
10264984793.jpg,0.6852456331253052
10265315316.jpg,0.5211595296859741
